"Time","atm_hum {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-03-17 01:00:00,90.3 %H
2023-03-17 02:00:00,92.0 %H
2023-03-17 03:00:00,92.8 %H
2023-03-17 04:00:00,94.1 %H
2023-03-17 05:00:00,94.6 %H
2023-03-17 06:00:00,95.0 %H
2023-03-17 07:00:00,94.9 %H
2023-03-17 08:00:00,94.5 %H
2023-03-17 09:00:00,87.7 %H
2023-03-17 10:00:00,83 %H
2023-03-17 11:00:00,79.8 %H
2023-03-17 12:00:00,76.9 %H
2023-03-17 13:00:00,76.1 %H
2023-03-17 14:00:00,77.8 %H
2023-03-17 15:00:00,71.7 %H
2023-03-17 16:00:00,75.1 %H
2023-03-17 17:00:00,80.4 %H
2023-03-17 18:00:00,83.4 %H
2023-03-17 19:00:00,82.0 %H
2023-03-17 20:00:00,75.8 %H
2023-03-17 21:00:00,79.3 %H
2023-03-17 22:00:00,81.5 %H
2023-03-17 23:00:00,82.8 %H
2023-03-18 00:00:00,84.2 %H
2023-03-18 01:00:00,84.6 %H
2023-03-18 02:00:00,86.8 %H
2023-03-18 03:00:00,88.9 %H
2023-03-18 04:00:00,89.6 %H
2023-03-18 05:00:00,90.4 %H
2023-03-18 06:00:00,91.8 %H
2023-03-18 07:00:00,92.0 %H
2023-03-18 08:00:00,89.4 %H
2023-03-18 09:00:00,83.6 %H
2023-03-18 10:00:00,82.2 %H
2023-03-18 11:00:00,75.5 %H
2023-03-18 12:00:00,68.8 %H
2023-03-18 13:00:00,66.0 %H
2023-03-18 14:00:00,66.6 %H
2023-03-18 15:00:00,65.5 %H
2023-03-18 16:00:00,66.1 %H
2023-03-18 17:00:00,63.8 %H
2023-03-18 18:00:00,64.4 %H
2023-03-18 19:00:00,74 %H
2023-03-18 20:00:00,76.4 %H
2023-03-18 21:00:00,78.9 %H
2023-03-18 22:00:00,79.9 %H
2023-03-18 23:00:00,81.9 %H
2023-03-19 00:00:00,82.9 %H
2023-03-19 01:00:00,84.0 %H
2023-03-19 02:00:00,85.5 %H
2023-03-19 03:00:00,87.6 %H
2023-03-19 04:00:00,88.8 %H
2023-03-19 05:00:00,89.0 %H
2023-03-19 06:00:00,91.0 %H
2023-03-19 07:00:00,92.4 %H
2023-03-19 08:00:00,89.9 %H
2023-03-19 09:00:00,85.6 %H
2023-03-19 10:00:00,80.8 %H
2023-03-19 11:00:00,80.0 %H
2023-03-19 12:00:00,75.6 %H
2023-03-19 13:00:00,74.4 %H
2023-03-19 14:00:00,76.9 %H
2023-03-19 15:00:00,80.9 %H
2023-03-19 16:00:00,84.2 %H
2023-03-19 17:00:00,85.2 %H
2023-03-19 18:00:00,82.8 %H
2023-03-19 19:00:00,84.5 %H
2023-03-19 20:00:00,85.0 %H
2023-03-19 21:00:00,87.0 %H
2023-03-19 22:00:00,89.3 %H
2023-03-19 23:00:00,89.1 %H
2023-03-20 00:00:00,87.9 %H
2023-03-20 01:00:00,88.7 %H
2023-03-20 02:00:00,90.5 %H
2023-03-20 03:00:00,90.4 %H
2023-03-20 04:00:00,91.2 %H
2023-03-20 05:00:00,91.9 %H
2023-03-20 06:00:00,92.5 %H
2023-03-20 07:00:00,92.5 %H
2023-03-20 08:00:00,91.0 %H
2023-03-20 09:00:00,89.3 %H
2023-03-20 10:00:00,85.3 %H
2023-03-20 11:00:00,81.3 %H
2023-03-20 12:00:00,77.8 %H
2023-03-20 13:00:00,77.5 %H
2023-03-20 14:00:00,72.4 %H
2023-03-20 15:00:00,69.9 %H
2023-03-20 16:00:00,70.4 %H
2023-03-20 17:00:00,72.5 %H
2023-03-20 18:00:00,75.8 %H
2023-03-20 19:00:00,78.6 %H
2023-03-20 20:00:00,80.5 %H
2023-03-20 21:00:00,82.2 %H
2023-03-20 22:00:00,83.7 %H
2023-03-20 23:00:00,86.4 %H
2023-03-21 00:00:00,87.3 %H
2023-03-21 01:00:00,85.1 %H
2023-03-21 02:00:00,86.8 %H
2023-03-21 03:00:00,88.8 %H
2023-03-21 04:00:00,89.2 %H
2023-03-21 05:00:00,90.2 %H
2023-03-21 06:00:00,88.5 %H
2023-03-21 07:00:00,89.9 %H
2023-03-21 08:00:00,88.0 %H
2023-03-21 09:00:00,83.9 %H
2023-03-21 10:00:00,77.6 %H
2023-03-21 11:00:00,74.8 %H
2023-03-21 12:00:00,72.3 %H
2023-03-21 13:00:00,72.0 %H
2023-03-21 14:00:00,72.9 %H
2023-03-21 15:00:00,79.7 %H
2023-03-21 16:00:00,80.9 %H
2023-03-21 17:00:00,79.1 %H
2023-03-21 18:00:00,78.6 %H
2023-03-21 19:00:00,81.5 %H
2023-03-21 20:00:00,82.3 %H
2023-03-21 21:00:00,79.4 %H
2023-03-21 22:00:00,74.7 %H
2023-03-21 23:00:00,72.9 %H
2023-03-22 00:00:00,74.2 %H
2023-03-22 01:00:00,81.3 %H
2023-03-22 02:00:00,84.3 %H
2023-03-22 03:00:00,83.3 %H
2023-03-22 04:00:00,81.5 %H
2023-03-22 05:00:00,83.7 %H
2023-03-22 06:00:00,87.2 %H
2023-03-22 07:00:00,86.6 %H
2023-03-22 08:00:00,87.1 %H
2023-03-22 09:00:00,83.8 %H
2023-03-22 10:00:00,77 %H
2023-03-22 11:00:00,74.9 %H
2023-03-22 12:00:00,74.6 %H
2023-03-22 13:00:00,73.3 %H
2023-03-22 14:00:00,71.5 %H
2023-03-22 15:00:00,70.9 %H
2023-03-22 16:00:00,70.2 %H
2023-03-22 17:00:00,73.9 %H
2023-03-22 18:00:00,78.9 %H
2023-03-22 19:00:00,80 %H
2023-03-22 20:00:00,83.4 %H
2023-03-22 21:00:00,83.8 %H
2023-03-22 22:00:00,84.9 %H
2023-03-22 23:00:00,84.8 %H
2023-03-23 00:00:00,85.0 %H
2023-03-23 01:00:00,86.8 %H
2023-03-23 02:00:00,90.1 %H
2023-03-23 03:00:00,92.7 %H
2023-03-23 04:00:00,94.3 %H
2023-03-23 05:00:00,95 %H
2023-03-23 06:00:00,96.6 %H
2023-03-23 07:00:00,97 %H
2023-03-23 08:00:00,97.4 %H
2023-03-23 09:00:00,97.5 %H
2023-03-23 10:00:00,97.6 %H
2023-03-23 11:00:00,97.4 %H
2023-03-23 12:00:00,96.7 %H
2023-03-23 13:00:00,95.1 %H
2023-03-23 14:00:00,88.1 %H
2023-03-23 15:00:00,82.8 %H
2023-03-23 16:00:00,80.6 %H
2023-03-23 17:00:00,90.7 %H
2023-03-23 18:00:00,96.4 %H
2023-03-23 19:00:00,97.3 %H

